id,volume,year,issue,journal_name
95,62,2022,3,Hill-Flowers
96,6,2021,4,Hill-Flowers
97,76,2023,3,Hill-Flowers
98,40,2023,4,Hill-Flowers
99,21,2022,1,Hill-Flowers
100,70,2018,4,Hill-Flowers
101,62,2024,4,Hill-Flowers
102,99,2021,3,Hill-Flowers
103,62,2020,1,Hill-Flowers
104,6,2020,3,Hill-Flowers
105,21,2019,4,Hill-Flowers
106,62,2018,2,Hill-Flowers
107,74,2018,1,Hill-Flowers
108,31,2022,4,Hill-Flowers
109,7,2018,2,Hill-Flowers
110,77,2022,2,Hill-Flowers
111,92,2019,2,Hill-Flowers
112,56,2022,1,Hill-Flowers
113,23,2021,3,Hill-Flowers
114,78,2020,2,Hill-Flowers
115,73,2021,4,Hill-Flowers
116,12,2018,3,Hill-Flowers
117,93,2018,1,Hill-Flowers
118,79,2023,2,Hill-Flowers
119,85,2023,3,Hill-Flowers
120,83,2020,4,Hill-Flowers
121,71,2021,1,Hill-Flowers
122,93,2018,3,Hill-Flowers
123,72,2024,1,Hill-Flowers
124,83,2020,2,Hill-Flowers
125,29,2019,3,Hill-Flowers
126,55,2024,4,Hill-Flowers
127,62,2024,3,Hill-Flowers
128,61,2023,3,Hill-Flowers
129,31,2023,1,Hill-Flowers
130,12,2018,3,Hill-Flowers
131,86,2020,3,Hill-Flowers
132,33,2021,4,Hill-Flowers
133,21,2024,1,Hill-Flowers
134,45,2018,1,Hill-Flowers
135,52,2024,1,Hill-Flowers
136,10,2020,4,Hill-Flowers
137,61,2022,3,Hill-Flowers
138,58,2019,3,Hill-Flowers
139,26,2022,1,Hill-Flowers
140,10,2020,3,Hill-Flowers
141,5,2021,1,Hill-Flowers
142,77,2024,2,Hill-Flowers
143,11,2022,3,Hill-Flowers
144,14,2019,4,Hill-Flowers
145,63,2023,4,Hill-Flowers
146,61,2021,2,Hill-Flowers
147,34,2021,1,Hill-Flowers
148,90,2021,2,Hill-Flowers
149,58,2020,3,Hill-Flowers
150,32,2022,1,Hill-Flowers
151,77,2023,1,Hill-Flowers
152,51,2022,4,Hill-Flowers
153,80,2022,1,Hill-Flowers
154,12,2024,1,Hill-Flowers
155,4,2021,4,Hill-Flowers
156,21,2018,2,Hill-Flowers
157,19,2023,3,Hill-Flowers
158,49,2019,1,Hill-Flowers
159,75,2020,3,Hill-Flowers
160,6,2021,4,Hill-Flowers
161,88,2021,3,Hill-Flowers
162,3,2022,4,Hill-Flowers
163,13,2020,4,Hill-Flowers
164,64,2019,4,Hill-Flowers
165,79,2018,1,Hill-Flowers
166,2,2024,3,Hill-Flowers
167,88,2020,3,Hill-Flowers
168,46,2019,1,Hill-Flowers
169,35,2018,4,Hill-Flowers
170,72,2020,3,Hill-Flowers
171,13,2022,1,Hill-Flowers
172,6,2019,2,Hill-Flowers
173,2,2020,2,Hill-Flowers
174,29,2018,3,Hill-Flowers
175,68,2018,1,Hill-Flowers
176,38,2024,4,Hill-Flowers
177,64,2021,3,Hill-Flowers
178,49,2019,3,Hill-Flowers
179,4,2023,1,Hill-Flowers
180,86,2020,3,Hill-Flowers
181,90,2018,3,Hill-Flowers
182,70,2020,2,Hill-Flowers
183,81,2020,3,Hill-Flowers
184,95,2024,1,Hill-Flowers
185,47,2023,4,Hill-Flowers
186,47,2024,4,Hill-Flowers
187,25,2018,3,Hill-Flowers
188,43,2018,2,Hill-Flowers
189,66,2020,3,Hill-Flowers
190,11,2024,4,Hill-Flowers
191,99,2024,1,Hill-Flowers
192,1,2018,3,Hill-Flowers
193,9,2020,1,Hill-Flowers
194,90,2019,2,Hill-Flowers
195,100,2018,2,Hill-Flowers
196,57,2020,1,Hill-Flowers
197,87,2022,4,Hill-Flowers
198,93,2021,3,Hill-Flowers
199,86,2021,1,Hill-Flowers
200,97,2018,3,Hill-Flowers
201,37,2019,1,Hill-Flowers
202,44,2019,3,Hill-Flowers
203,56,2021,4,Hill-Flowers
204,1,2018,1,Hill-Flowers
205,50,2020,3,Hill-Flowers
206,99,2024,1,Hill-Flowers
207,99,2023,3,Hill-Flowers
208,91,2021,3,Hill-Flowers
209,60,2020,1,Hill-Flowers
210,89,2022,4,Hill-Flowers
211,27,2019,4,Hill-Flowers
212,85,2024,4,Hill-Flowers
213,45,2020,3,Hill-Flowers
214,42,2024,4,Hill-Flowers
215,6,2019,1,Hill-Flowers
216,3,2021,1,Hill-Flowers
217,31,2022,3,Hill-Flowers
218,90,2023,1,Hill-Flowers
219,29,2018,4,Hill-Flowers
220,3,2021,2,Hill-Flowers
221,93,2021,1,Hill-Flowers
222,21,2019,3,Hill-Flowers
223,4,2024,1,Hill-Flowers
224,94,2024,1,Hill-Flowers
225,22,2023,4,Hill-Flowers
226,78,2022,3,Hill-Flowers
227,17,2018,4,Hill-Flowers
228,11,2020,1,Hill-Flowers
229,43,2018,2,Hill-Flowers
230,62,2018,3,Hill-Flowers
231,31,2024,1,Hill-Flowers
232,30,2024,1,Hill-Flowers
233,68,2023,2,Hill-Flowers
234,9,2020,2,Hill-Flowers
235,11,2019,1,Hill-Flowers
236,27,2023,4,Hill-Flowers
237,2,2021,1,Hill-Flowers
238,40,2023,4,Hill-Flowers
239,46,2018,1,Hill-Flowers
240,37,2020,2,Hill-Flowers
241,49,2022,4,Hill-Flowers
242,58,2021,2,Hill-Flowers
243,93,2024,3,Hill-Flowers
244,72,2020,1,Simon Group
245,94,2022,1,Simon Group
246,91,2019,1,Simon Group
247,1,2021,3,Simon Group
248,65,2019,4,Simon Group
249,33,2022,2,Simon Group
250,75,2022,3,Simon Group
251,64,2024,1,Simon Group
252,1,2019,1,Simon Group
253,49,2019,1,Simon Group
254,86,2024,2,Simon Group
255,98,2023,2,Simon Group
256,98,2019,4,Simon Group
257,41,2023,2,Simon Group
258,64,2021,4,Simon Group
259,69,2024,4,Simon Group
260,85,2021,2,Simon Group
261,35,2020,1,Simon Group
262,45,2019,3,Simon Group
263,89,2022,2,Simon Group
264,93,2022,2,Simon Group
265,24,2023,1,Simon Group
266,50,2021,3,Simon Group
267,72,2018,4,Simon Group
268,90,2021,4,Simon Group
269,3,2020,3,Simon Group
270,39,2019,4,Simon Group
271,17,2020,2,Simon Group
272,93,2021,3,Simon Group
273,30,2021,1,Simon Group
274,92,2020,1,Simon Group
275,87,2024,1,Simon Group
276,28,2021,3,Simon Group
277,18,2018,2,Simon Group
278,70,2024,1,Simon Group
279,61,2021,1,Simon Group
280,23,2019,4,Simon Group
281,5,2019,3,Simon Group
282,31,2024,2,Simon Group
283,48,2024,2,Simon Group
284,36,2019,2,Simon Group
285,66,2021,1,Simon Group
286,74,2022,1,Simon Group
287,84,2021,3,Simon Group
288,27,2020,4,Simon Group
289,6,2024,4,Simon Group
290,82,2019,3,Simon Group
291,36,2019,1,Simon Group
292,76,2021,3,Simon Group
293,72,2023,2,Simon Group
294,18,2023,1,Simon Group
295,22,2022,1,Simon Group
296,49,2019,1,Simon Group
297,100,2022,2,Simon Group
298,11,2019,4,Simon Group
299,32,2023,4,Simon Group
300,34,2019,3,Simon Group
301,8,2022,3,Simon Group
302,93,2018,4,Simon Group
303,98,2022,4,Simon Group
304,13,2021,1,Simon Group
305,16,2021,1,Simon Group
306,75,2023,4,Simon Group
307,55,2022,4,Simon Group
308,88,2021,1,Simon Group
309,15,2022,2,Simon Group
310,35,2023,1,Simon Group
311,44,2018,1,Simon Group
312,33,2022,3,Simon Group
313,57,2022,4,Simon Group
314,22,2023,2,Simon Group
315,46,2021,1,Simon Group
316,66,2022,2,Simon Group
317,44,2020,2,Simon Group
318,96,2023,3,"Allen, Schmidt and Lynch"
319,91,2021,1,"Allen, Schmidt and Lynch"
320,75,2024,3,"Allen, Schmidt and Lynch"
321,32,2018,1,"Allen, Schmidt and Lynch"
322,94,2024,1,"Allen, Schmidt and Lynch"
323,96,2018,4,"Allen, Schmidt and Lynch"
324,40,2018,2,"Allen, Schmidt and Lynch"
325,2,2018,4,"Allen, Schmidt and Lynch"
326,22,2021,3,"Allen, Schmidt and Lynch"
327,47,2018,2,"Allen, Schmidt and Lynch"
328,85,2023,2,"Allen, Schmidt and Lynch"
329,10,2023,2,"Allen, Schmidt and Lynch"
330,79,2018,4,"Allen, Schmidt and Lynch"
331,98,2020,3,"Allen, Schmidt and Lynch"
332,7,2023,1,"Allen, Schmidt and Lynch"
333,74,2022,2,"Allen, Schmidt and Lynch"
334,21,2024,2,"Allen, Schmidt and Lynch"
335,15,2019,3,"Allen, Schmidt and Lynch"
336,92,2018,4,"Allen, Schmidt and Lynch"
337,54,2019,1,"Allen, Schmidt and Lynch"
338,22,2020,4,"Allen, Schmidt and Lynch"
339,48,2020,1,"Allen, Schmidt and Lynch"
340,80,2020,3,"Allen, Schmidt and Lynch"
341,63,2021,2,"Allen, Schmidt and Lynch"
342,84,2019,3,"Allen, Schmidt and Lynch"
343,85,2023,2,"Allen, Schmidt and Lynch"
344,96,2022,4,"Allen, Schmidt and Lynch"
345,54,2022,1,"Allen, Schmidt and Lynch"
346,88,2018,2,"Allen, Schmidt and Lynch"
347,58,2019,3,"Allen, Schmidt and Lynch"
348,65,2023,1,"Allen, Schmidt and Lynch"
349,10,2022,3,"Allen, Schmidt and Lynch"
350,28,2022,2,"Roman, Henry and Spencer"
351,89,2024,2,"Roman, Henry and Spencer"
352,38,2024,1,"Roman, Henry and Spencer"
353,65,2021,4,"Roman, Henry and Spencer"
354,87,2021,4,"Roman, Henry and Spencer"
355,92,2021,3,"Roman, Henry and Spencer"
356,52,2019,2,"Roman, Henry and Spencer"
357,55,2024,1,"Roman, Henry and Spencer"
358,15,2020,2,"Roman, Henry and Spencer"
359,85,2021,2,"Roman, Henry and Spencer"
360,31,2024,4,"Roman, Henry and Spencer"
361,34,2023,1,"Roman, Henry and Spencer"
362,50,2019,4,"Roman, Henry and Spencer"
363,30,2021,4,"Roman, Henry and Spencer"
364,50,2018,3,"Roman, Henry and Spencer"
365,73,2020,1,"Roman, Henry and Spencer"
366,97,2024,1,"Roman, Henry and Spencer"
367,43,2023,4,"Roman, Henry and Spencer"
368,84,2024,1,"Roman, Henry and Spencer"
369,94,2019,2,"Roman, Henry and Spencer"
370,46,2021,4,"Roman, Henry and Spencer"
371,62,2024,3,"Roman, Henry and Spencer"
372,50,2018,4,"Roman, Henry and Spencer"
373,91,2020,1,"Roman, Henry and Spencer"
374,20,2023,4,"Roman, Henry and Spencer"
375,36,2019,2,"Roman, Henry and Spencer"
376,76,2018,1,"Roman, Henry and Spencer"
377,86,2018,3,"Roman, Henry and Spencer"
378,44,2020,3,"Roman, Henry and Spencer"
379,92,2024,2,"Roman, Henry and Spencer"
380,31,2019,3,"Roman, Henry and Spencer"
381,72,2019,3,"Roman, Henry and Spencer"
382,94,2024,1,"Roman, Henry and Spencer"
383,65,2023,2,"Roman, Henry and Spencer"
384,62,2021,2,"Roman, Henry and Spencer"
385,66,2021,4,"Roman, Henry and Spencer"
386,32,2018,1,"Roman, Henry and Spencer"
387,21,2024,3,"Roman, Henry and Spencer"
388,30,2018,2,"Roman, Henry and Spencer"
389,56,2020,3,"Roman, Henry and Spencer"
390,4,2018,1,"Roman, Henry and Spencer"
391,89,2024,4,"Roman, Henry and Spencer"
392,64,2021,3,"Roman, Henry and Spencer"
393,76,2024,3,"Roman, Henry and Spencer"
394,17,2023,3,"Roman, Henry and Spencer"
395,21,2023,3,"Roman, Henry and Spencer"
396,88,2018,2,"Roman, Henry and Spencer"
397,69,2024,3,"Roman, Henry and Spencer"
398,5,2022,3,"Roman, Henry and Spencer"
399,29,2019,4,"Roman, Henry and Spencer"
400,70,2018,3,"Roman, Henry and Spencer"
401,69,2022,1,"Roman, Henry and Spencer"
402,90,2019,4,"Roman, Henry and Spencer"
403,34,2021,4,"Roman, Henry and Spencer"
404,40,2019,4,"Roman, Henry and Spencer"
405,75,2021,3,"Roman, Henry and Spencer"
406,34,2024,3,"Roman, Henry and Spencer"
407,7,2018,3,"Roman, Henry and Spencer"
408,100,2023,1,"Roman, Henry and Spencer"
409,19,2021,3,"Roman, Henry and Spencer"
410,85,2021,2,"Roman, Henry and Spencer"
411,2,2024,4,"Roman, Henry and Spencer"
412,25,2021,3,"Roman, Henry and Spencer"
413,15,2024,2,"Roman, Henry and Spencer"
414,62,2022,1,"Roman, Henry and Spencer"
415,52,2023,3,"Roman, Henry and Spencer"
416,36,2019,1,"Roman, Henry and Spencer"
417,29,2021,4,"Roman, Henry and Spencer"
418,62,2022,4,"Roman, Henry and Spencer"
419,35,2022,2,"Roman, Henry and Spencer"
420,28,2024,1,"Roman, Henry and Spencer"
421,8,2018,2,"Roman, Henry and Spencer"
422,37,2024,4,"Roman, Henry and Spencer"
423,78,2019,1,"Roman, Henry and Spencer"
424,10,2019,2,"Roman, Henry and Spencer"
425,22,2020,1,"Roman, Henry and Spencer"
426,87,2021,1,"Roman, Henry and Spencer"
427,81,2024,2,"Roman, Henry and Spencer"
428,36,2018,1,"Roman, Henry and Spencer"
429,49,2021,3,"Roman, Henry and Spencer"
430,73,2022,1,"Roman, Henry and Spencer"
431,61,2023,1,"Roman, Henry and Spencer"
432,57,2019,2,"Roman, Henry and Spencer"
433,94,2023,3,"Roman, Henry and Spencer"
434,40,2019,3,"Roman, Henry and Spencer"
435,51,2022,3,"Roman, Henry and Spencer"
436,78,2021,3,"Roman, Henry and Spencer"
437,38,2020,2,"Roman, Henry and Spencer"
438,85,2020,2,"Roman, Henry and Spencer"
439,1,2021,3,"Roman, Henry and Spencer"
440,30,2020,1,"Roman, Henry and Spencer"
441,17,2018,4,"Roman, Henry and Spencer"
442,32,2024,1,"Roman, Henry and Spencer"
443,51,2018,4,"Roman, Henry and Spencer"
444,44,2023,1,"Roman, Henry and Spencer"
445,70,2023,2,"Roman, Henry and Spencer"
446,9,2024,3,"Roman, Henry and Spencer"
447,21,2024,4,"Roman, Henry and Spencer"
448,56,2019,2,"Roman, Henry and Spencer"
449,54,2020,1,"Roman, Henry and Spencer"
450,98,2018,3,"Roman, Henry and Spencer"
451,42,2021,3,"Roman, Henry and Spencer"
452,48,2019,2,"Roman, Henry and Spencer"
453,26,2018,3,"Roman, Henry and Spencer"
454,68,2020,1,"Roman, Henry and Spencer"
455,91,2020,3,"Roman, Henry and Spencer"
456,93,2022,3,"Roman, Henry and Spencer"
457,14,2018,2,"Roman, Henry and Spencer"
458,58,2023,1,"Roman, Henry and Spencer"
459,32,2020,4,"Roman, Henry and Spencer"
460,32,2022,2,"Roman, Henry and Spencer"
461,19,2018,2,"Roman, Henry and Spencer"
462,97,2018,1,"Roman, Henry and Spencer"
463,83,2018,1,"Roman, Henry and Spencer"
464,34,2018,3,"Roman, Henry and Spencer"
465,67,2021,2,"Roman, Henry and Spencer"
466,29,2024,2,"Roman, Henry and Spencer"
467,57,2023,4,"Roman, Henry and Spencer"
468,46,2020,1,"Roman, Henry and Spencer"
469,31,2018,2,"Roman, Henry and Spencer"
470,32,2023,2,"Roman, Henry and Spencer"
471,40,2022,2,"Roman, Henry and Spencer"
472,19,2019,4,"Roman, Henry and Spencer"
473,40,2021,4,"Roman, Henry and Spencer"
474,17,2024,4,"Roman, Henry and Spencer"
475,13,2019,4,"Roman, Henry and Spencer"
476,12,2022,3,"Roman, Henry and Spencer"
477,38,2018,2,"Roman, Henry and Spencer"
478,16,2018,1,"Roman, Henry and Spencer"
479,12,2022,3,"Roman, Henry and Spencer"
480,38,2023,3,"Roman, Henry and Spencer"
481,45,2020,3,"Roman, Henry and Spencer"
482,76,2018,3,"Roman, Henry and Spencer"
483,25,2024,2,"Roman, Henry and Spencer"
484,21,2023,4,"Roman, Henry and Spencer"
485,87,2022,1,"Roman, Henry and Spencer"
486,10,2021,3,"Roman, Henry and Spencer"
487,97,2024,2,"Roman, Henry and Spencer"
488,1,2023,2,"Roman, Henry and Spencer"
489,50,2020,4,"Roman, Henry and Spencer"
490,76,2018,3,"Roman, Henry and Spencer"
491,62,2021,2,"Roman, Henry and Spencer"
492,39,2021,2,"Roman, Henry and Spencer"
493,75,2018,4,"Roman, Henry and Spencer"
494,31,2022,3,"Roman, Henry and Spencer"
495,75,2020,4,"Roman, Henry and Spencer"
496,74,2024,2,"Roman, Henry and Spencer"
497,8,2021,4,"Roman, Henry and Spencer"
498,64,2024,4,"Roman, Henry and Spencer"
499,47,2023,2,"Roman, Henry and Spencer"
500,22,2024,4,"Roman, Henry and Spencer"
501,48,2023,1,"Roman, Henry and Spencer"
502,91,2024,3,"Roman, Henry and Spencer"
503,88,2018,1,"Roman, Henry and Spencer"
504,59,2020,1,"Roman, Henry and Spencer"
505,22,2024,3,"Roman, Henry and Spencer"
506,61,2024,3,"Roman, Henry and Spencer"
507,64,2019,2,"Roman, Henry and Spencer"
508,30,2018,2,"Roman, Henry and Spencer"
509,63,2019,1,"Roman, Henry and Spencer"
510,51,2020,2,"Roman, Henry and Spencer"
511,48,2022,2,"Roman, Henry and Spencer"
512,6,2021,4,"Roman, Henry and Spencer"
513,39,2019,2,"Roman, Henry and Spencer"
514,91,2023,4,"Roman, Henry and Spencer"
515,18,2019,1,"Roman, Henry and Spencer"
516,59,2018,2,"Roman, Henry and Spencer"
517,60,2020,1,"Roman, Henry and Spencer"
518,26,2020,3,"Roman, Henry and Spencer"
519,90,2023,2,"Roman, Henry and Spencer"
520,4,2021,4,"Roman, Henry and Spencer"
521,1,2020,3,"Roman, Henry and Spencer"
522,98,2023,1,"Roman, Henry and Spencer"
523,48,2024,1,"Roman, Henry and Spencer"
524,49,2019,1,"Roman, Henry and Spencer"
525,9,2022,4,"Roman, Henry and Spencer"
526,24,2018,3,"Roman, Henry and Spencer"
527,34,2018,3,"Roman, Henry and Spencer"
528,30,2022,4,"Roman, Henry and Spencer"
529,14,2019,1,"Roman, Henry and Spencer"
530,30,2019,1,"Roman, Henry and Spencer"
531,61,2024,2,"Roman, Henry and Spencer"
532,32,2018,3,"Roman, Henry and Spencer"
533,25,2024,1,"Roman, Henry and Spencer"
534,47,2022,1,"Roman, Henry and Spencer"
535,12,2021,2,"Roman, Henry and Spencer"
536,69,2022,2,"Roman, Henry and Spencer"
537,96,2023,3,"Roman, Henry and Spencer"
538,24,2020,4,"Roman, Henry and Spencer"
539,62,2018,2,"Roman, Henry and Spencer"
540,64,2024,3,"Roman, Henry and Spencer"
541,73,2019,3,"Roman, Henry and Spencer"
542,88,2021,4,"Roman, Henry and Spencer"
543,1,2022,3,"Roman, Henry and Spencer"
544,76,2018,1,"Roman, Henry and Spencer"
545,10,2024,2,"Roman, Henry and Spencer"
546,17,2019,1,"Roman, Henry and Spencer"
547,92,2021,2,"Roman, Henry and Spencer"
548,100,2020,1,"Roman, Henry and Spencer"
549,37,2019,4,"Roman, Henry and Spencer"
550,15,2024,2,Johnson Group
551,45,2024,4,Johnson Group
552,14,2019,3,Johnson Group
553,55,2019,1,Johnson Group
554,54,2021,3,Johnson Group
555,52,2018,1,Johnson Group
556,24,2019,3,Johnson Group
557,98,2021,4,Johnson Group
558,46,2018,4,Johnson Group
559,94,2022,4,Johnson Group
560,57,2022,4,Johnson Group
561,33,2019,3,Johnson Group
562,30,2018,3,Johnson Group
563,43,2021,3,Johnson Group
564,16,2019,4,Johnson Group
565,66,2023,1,Johnson Group
566,96,2019,2,Johnson Group
567,27,2022,4,Johnson Group
568,76,2022,1,Johnson Group
569,90,2023,1,Johnson Group
570,23,2020,3,Johnson Group
571,76,2024,3,Johnson Group
572,95,2022,3,Johnson Group
573,81,2023,4,Johnson Group
574,65,2022,1,Johnson Group
575,39,2022,2,Johnson Group
576,71,2021,3,Johnson Group
577,6,2023,2,Johnson Group
578,96,2019,1,Johnson Group
579,10,2018,2,Johnson Group
580,14,2019,1,Johnson Group
581,77,2022,3,Johnson Group
582,12,2023,1,Johnson Group
583,44,2024,2,Johnson Group
584,71,2023,3,Johnson Group
585,96,2020,3,Johnson Group
586,38,2021,3,Johnson Group
587,31,2023,4,Johnson Group
588,87,2018,2,Johnson Group
589,60,2020,3,Johnson Group
590,73,2018,1,Johnson Group
591,2,2022,4,Johnson Group
592,23,2019,4,Johnson Group
593,77,2021,1,Johnson Group
594,60,2023,1,Johnson Group
595,62,2019,2,Johnson Group
596,42,2023,4,Johnson Group
597,69,2018,1,Johnson Group
598,87,2021,4,Johnson Group
599,41,2018,1,Johnson Group
600,11,2022,2,Johnson Group
601,17,2021,2,Johnson Group
602,33,2018,1,Johnson Group
603,53,2023,4,Johnson Group
604,84,2024,2,Johnson Group
605,56,2024,2,Johnson Group
606,61,2022,3,Johnson Group
607,67,2023,4,Johnson Group
608,14,2020,4,Johnson Group
609,23,2021,1,Johnson Group
610,5,2019,1,Johnson Group
611,92,2024,3,Johnson Group
612,90,2020,1,Johnson Group
613,12,2023,4,Johnson Group
614,76,2021,3,Johnson Group
615,45,2023,1,Johnson Group
616,100,2024,2,Johnson Group
617,28,2018,4,Johnson Group
618,66,2020,1,Johnson Group
619,37,2021,3,Johnson Group
620,90,2024,4,Johnson Group
621,19,2024,4,Johnson Group
622,67,2022,2,Johnson Group
623,12,2020,4,Shields-Ford
624,99,2021,4,Shields-Ford
625,95,2021,4,Shields-Ford
626,14,2021,2,Shields-Ford
627,6,2024,1,Shields-Ford
628,68,2022,4,Shields-Ford
629,12,2020,1,Shields-Ford
630,77,2020,2,Shields-Ford
631,1,2020,3,Shields-Ford
632,38,2024,4,Shields-Ford
633,68,2022,3,Shields-Ford
634,25,2021,2,Shields-Ford
635,31,2024,1,Shields-Ford
636,59,2020,3,Shields-Ford
637,34,2021,3,Shields-Ford
638,51,2022,4,Shields-Ford
639,69,2021,4,Shields-Ford
640,95,2021,2,Shields-Ford
641,4,2024,4,Shields-Ford
642,56,2020,2,Shields-Ford
643,40,2023,3,Shields-Ford
644,9,2018,3,Shields-Ford
645,22,2021,3,Shields-Ford
646,1,2023,4,Shields-Ford
647,7,2022,2,Shields-Ford
648,60,2020,2,Shields-Ford
649,14,2022,1,Shields-Ford
650,100,2021,3,Shields-Ford
651,43,2018,3,Shields-Ford
652,47,2020,4,Shields-Ford
653,60,2019,1,Shields-Ford
654,1,2023,2,Shields-Ford
655,52,2023,1,Shields-Ford
656,30,2019,2,Shields-Ford
657,92,2018,4,Shields-Ford
658,84,2019,4,Shields-Ford
659,77,2022,3,Shields-Ford
660,73,2020,3,Shields-Ford
661,43,2023,2,Shields-Ford
662,63,2022,1,Shields-Ford
663,7,2022,2,Shields-Ford
664,70,2018,4,Shields-Ford
665,42,2022,3,Shields-Ford
666,44,2018,3,Shields-Ford
667,84,2021,3,Shields-Ford
668,85,2021,2,Shields-Ford
669,32,2019,1,Shields-Ford
670,11,2023,1,Shields-Ford
